date,ret_1d,gross_ret,signal,pos_change,net_ret,buy_hold_equally_weighted,strategy_curve_gross,strategy_curve_net,strategy_dd
2024-04-04,-0.005911701276714742,-0.00219491828412578,0.3,0.3,-0.00225491828412578,0.9940882987232853,0.9978050817158742,0.9977450817158742,0.0
2024-04-05,0.008858041023224772,0.0,0.0,0.3,-6e-05,1.002893973654084,0.9978050817158742,0.9976852170109712,-5.999999999994898e-05
2024-04-08,0.0012411177722534527,0.0035454770313709805,0.1,0.1,0.0035254770313709804,1.0041386831884722,1.001342776714883,1.0012025333280818,0.0
2024-04-09,0.0013450997800198983,-0.0009345058381158954,0.1,0.0,-0.0009345058381158954,1.0054893499103386,1.0004070160440877,1.0002669037155503,-0.0009345058381159399
2024-04-10,-0.0010497768430920208,-0.0019254075753287303,0.3,0.19999999999999998,-0.00196540757532873,1.004433810474827,0.9984808247969843,0.9983009715656371,-0.0028980767285912146
2024-04-11,-0.0022203665170386633,0.0009108180552103385,0.2,0.09999999999999998,0.0008908180552103385,1.002203599273467,0.9993902591599908,0.9991902760956418,-0.002009840332456103
2024-04-12,0.004903549083192693,-0.0002610917195902118,0.1,0.1,-0.0002810917195902118,1.007117953813857,0.999129326638685,0.9989094119827363,-0.0022903671025711336
2024-04-15,-0.005596258091915773,-0.002644843079929904,0.1,0.0,-0.002644843079929904,1.0014818618153125,0.9964867863531697,0.9962674533369769,-0.004929152520919411
2024-04-16,0.004490573055615543,0.0,0.0,0.1,-2e-05,1.005979089279668,0.9964867863531697,0.99624752798791,-0.004949053937869041
2024-04-17,0.003075412397373778,0.0,0.0,0.0,0.0,1.0090728898423376,0.9964867863531697,0.99624752798791,-0.004949053937869041
2024-04-18,-0.004020279095485535,-0.0012488584297162598,0.2,0.2,-0.00128885842971626,1.0050161351974833,0.9952423154299317,0.9949635059633788,-0.006231533737698358
2024-04-19,0.001364068543903918,-0.0011684661621695126,0.2,0.0,-0.0011684661621695126,1.0063870460936222,0.9940794084611926,0.9938009247740671,-0.007392718563556944
2024-04-22,-0.0021364017793179314,0.0035056014442335303,0.3,0.09999999999999998,0.0034856014442335302,1.0042369990176652,0.997564254671177,0.9972649187127401,-0.003932885189825375
2024-04-23,-0.005628159556175361,-0.004282086323857759,0.5,0.2,-0.004322086323857759,0.998584992954979,0.9932925984190802,0.9929546536463086,-0.008237973244391017
2024-04-24,0.003499089702085789,0.0005267868573746171,0.3,0.2,0.00048678685737461706,1.0020791314204853,0.9938158519054549,0.9934380109216726,-0.0077551965241231535
2024-04-25,0.0010240348215895367,-0.0026263984852045175,0.5,0.2,-0.0026663984852045176,1.003105295345048,0.9912056954574381,0.9907891093142064,-0.010400916565063367
