model,bin,pred_mean,obs_freq,count
logreg_baseline,0,0.04318974736204031,0.40425531914893614,47
logreg_baseline,1,0.14810654911847476,0.5,50
logreg_baseline,2,0.2529361040430893,0.46511627906976744,43
logreg_baseline,3,0.35835235953461025,0.4426229508196721,122
logreg_baseline,4,0.4654657250153032,0.37415540540540543,1184
logreg_baseline,5,0.5323298289375132,0.396,750
logreg_baseline,6,0.642938630895852,0.3443708609271523,151
logreg_baseline,7,0.751522039373329,0.36363636363636365,66
logreg_baseline,8,0.8344198716629544,0.6086956521739131,23
logreg_baseline,9,0.9900411079132609,0.4025974025974026,154
logreg_pca,0,0.02502924499720511,0.36,25
logreg_pca,1,0.1428911685124725,0.3333333333333333,15
logreg_pca,2,0.2576605680481264,0.5217391304347826,23
logreg_pca,3,0.36628179075340317,0.4626865671641791,67
logreg_pca,4,0.46737820925530316,0.3946459412780656,1158
logreg_pca,5,0.5335529430121887,0.37970353477765106,877
logreg_pca,6,0.646999103309935,0.33544303797468356,158
logreg_pca,7,0.7407412725439712,0.3972602739726027,73
logreg_pca,8,0.8358069208093806,0.5897435897435898,39
logreg_pca,9,0.9964396442994435,0.3741935483870968,155
random_forest_optuna,0,0.027263173802695353,0.3987730061349693,326
random_forest_optuna,1,0.17248704541055898,0.40804597701149425,174
random_forest_optuna,2,0.24786404906119539,0.39759036144578314,332
random_forest_optuna,3,0.3552229837335161,0.38666666666666666,225
random_forest_optuna,4,0.4678835113451264,0.3621700879765396,682
random_forest_optuna,5,0.5459427240711997,0.43333333333333335,240
random_forest_optuna,6,0.6547616950085338,0.391304347826087,138
random_forest_optuna,7,0.7479390230820563,0.3202614379084967,153
random_forest_optuna,8,0.8522912201209626,0.3902439024390244,123
random_forest_optuna,9,0.9600990038299644,0.4467005076142132,197
xgboost_optuna,0,0.08336833367745082,0.43333333333333335,30
xgboost_optuna,1,0.14848231279711926,0.40540540540540543,259
xgboost_optuna,2,0.2533332974999212,0.43359375,256
xgboost_optuna,3,0.35729645531644266,0.35185185185185186,378
xgboost_optuna,4,0.4532212500993683,0.39050131926121373,758
xgboost_optuna,5,0.5423408947885037,0.3875,640
xgboost_optuna,6,0.6395459353621236,0.36548223350253806,197
xgboost_optuna,7,0.7422757557968596,0.44776119402985076,67
xgboost_optuna,8,0.8126278877258301,0.4,5
xgboost_optuna,9,,,0
lightgbm_optuna,0,0.08811143757028828,0.38596491228070173,57
lightgbm_optuna,1,0.14316177455202986,0.3879598662207358,299
lightgbm_optuna,2,0.25514521912830723,0.3671875,256
lightgbm_optuna,3,0.35915455598147844,0.42021276595744683,376
lightgbm_optuna,4,0.4553231526353869,0.3986842105263158,760
lightgbm_optuna,5,0.5394743269774842,0.38057324840764334,628
lightgbm_optuna,6,0.640999159825262,0.35064935064935066,154
lightgbm_optuna,7,0.7422151707389674,0.3584905660377358,53
lightgbm_optuna,8,0.8249302072081955,0.7142857142857143,7
lightgbm_optuna,9,,,0
