model,accuracy,f1,prevalence_positive,brier,roc_auc,pr_auc,pr_auc_minus_prevalence,pr_auc_negative_class_as_positive,precision_at_k,recall_at_k,ece,top_quantile_return,bottom_quantile_return,long_short_spread,hit_rate_top_quantile,hit_rate_top_quantile_above_threshold,ic_mean,rank_ic_mean,ic_mean_neg_score,rank_ic_mean_neg_score,precision_at_k_pooled_top25pct_rows
random_forest_optuna,0.5447876447876447,0.3817514420555847,0.38996138996138996,0.2512820578371662,0.5109769394660986,0.41026533813882426,0.020303948177434306,0.6106035997068084,0.4411764705882353,0.27623762376237626,0.09975024203845018,0.053714944949987624,0.0051256422947439555,0.048589302655243666,0.5242214532871973,0.4290657439446367,0.030796971132896974,0.04154945400620144,-0.030796971132896974,-0.04154945400620144,0.4312210200927357
lightgbm_optuna,0.5424710424710425,0.3646112600536193,0.38996138996138996,0.26049916470467654,0.506850482516606,0.3954306258573539,0.005469235895963931,0.6182405309777781,0.3754325259515571,0.24653465346534653,0.1167247089805784,0.04926759381604483,0.021771609503893504,0.027495984312151323,0.4826989619377163,0.35986159169550175,0.018636453100861892,0.02654099072784195,-0.018636453100861892,-0.02654099072784195,0.3848531684698609
xgboost_optuna,0.5478764478764478,0.37479978643886813,0.38996138996138996,0.2737765880459929,0.5094651585411706,0.396810570191446,0.00684918023005604,0.6103938783364999,0.3685121107266436,0.25445544554455446,0.14798701885569857,0.04926237537701236,0.022491066774835495,0.026771308602176868,0.4809688581314879,0.3771626297577855,0.019889131367626062,0.02653799487709523,-0.019889131367626062,-0.02653799487709523,0.3972179289026275
logreg_baseline,0.5150579150579151,0.4168987929433612,0.38996138996138996,0.2827603429504935,0.49720391026444416,0.3881542862031646,-0.001807103758225348,0.6049920333033737,0.36678200692041524,0.22673267326732674,0.16628203850696618,0.08322596286169656,0.009968375725208593,0.07325758713648797,0.4913494809688581,0.38235294117647056,-0.025594936000055028,-0.01913899249539388,0.025594936000055028,0.01913899249539388,0.35394126738794435
logreg_pca,0.49034749034749037,0.4290657439446367,0.38996138996138996,0.28320136265193957,0.49236495801478886,0.3851694273006578,-0.004791962660732174,0.605019701244234,0.38581314878892736,0.23564356435643563,0.16342019754354734,0.08409976263947569,0.017846667232920024,0.06625309540655566,0.5034602076124568,0.3961937716262976,-0.005793319168107427,-0.021081052741952395,0.005793319168107427,0.021081052741952395,0.3678516228748068
