date,ret_1d,gross_ret,signal,net_ret,buy_hold_equally_weighted,strategy_curve_gross,strategy_curve_net,strategy_dd
2024-04-04,-0.005911701276714742,0.0,0.0,0.0,0.9940882987232853,1.0,1.0,0.0
2024-04-05,0.008858041023224772,0.0,0.0,0.0,1.002893973654084,1.0,1.0,0.0
2024-04-08,0.0012411177722534527,0.0,0.0,0.0,1.0041386831884722,1.0,1.0,0.0
2024-04-09,0.0013450997800198983,0.0,0.0,0.0,1.0054893499103386,1.0,1.0,0.0
2024-04-10,-0.0010497768430920208,0.0,0.0,0.0,1.004433810474827,1.0,1.0,0.0
2024-04-11,-0.0022203665170386633,0.0,0.0,0.0,1.002203599273467,1.0,1.0,0.0
2024-04-12,0.004903549083192693,0.0,0.0,0.0,1.007117953813857,1.0,1.0,0.0
2024-04-15,-0.005596258091915773,0.0,0.0,0.0,1.0014818618153125,1.0,1.0,0.0
2024-04-16,0.004490573055615543,-0.0001322727846102878,0.1,-0.0001522727846102878,1.005979089279668,0.9998677272153897,0.9998477272153897,-0.0001522727846102745
2024-04-17,0.003075412397373778,0.0,0.0,-2e-05,1.0090728898423376,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-18,-0.004020279095485535,0.0,0.0,0.0,1.0050161351974833,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-19,0.001364068543903918,0.0,0.0,0.0,1.0063870460936222,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-22,-0.0021364017793179314,0.0,0.0,0.0,1.0042369990176652,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-23,-0.005628159556175361,0.0,0.0,0.0,0.998584992954979,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-24,0.003499089702085789,0.0,0.0,0.0,1.0020791314204853,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-25,0.0010240348215895367,0.0,0.0,0.0,1.003105295345048,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-26,0.006024447377371534,0.0,0.0,0.0,1.0091484504108172,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-29,0.0016402813137485484,0.0,0.0,0.0,1.0108037377568244,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-04-30,0.006835505135011554,0.0,0.0,0.0,1.01771309189675,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-01,-0.001580828753488206,0.0,0.0,0.0,1.0161042617782783,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-02,0.0034894040825247164,0.0,0.0,0.0,1.019649860137598,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-03,-0.002882468599446797,0.0,0.0,0.0,1.0167107514333211,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-06,0.0003266946736558252,0.0,0.0,0.0,1.0170429054204628,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-07,0.0007119063687258453,0.0,0.0,0.0,1.017766944742099,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-08,-0.0037691632477746097,0.0,0.0,0.0,1.013930814979177,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-09,0.007545111804597315,0.0,0.0,0.0,1.0215810363403213,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-10,-0.0002813565874946078,0.0,0.0,0.0,1.0212936077860872,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-13,-0.001132216006738851,0.0,0.0,0.0,1.0201372828157718,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-14,-0.001394132182999408,0.0,0.0,0.0,1.0187150765987207,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-15,-0.002710109288324414,0.0,0.0,0.0,1.0159542474074745,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-16,0.0009393203856072563,0.0,0.0,0.0,1.0169085539429086,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-17,0.004546742588317254,0.0,0.0,0.0,1.021532175373545,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-20,0.0026497355880732098,0.0,0.0,0.0,1.024238965532994,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-21,-0.006664654633887201,0.0,0.0,0.0,1.0174127665651467,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-22,0.005205233033249301,0.0,0.0,0.0,1.0227086371061211,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-23,-0.0038362724222165577,0.0,0.0,0.0,1.0187852481656283,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
2024-05-24,0.0037877756620042446,0.0,0.0,0.0,1.022644178133439,0.9998677272153897,0.9998277302608454,-0.00017226973915462906
