model,ic_mean,rank_ic_mean,precision_at_k,long_short_spread,top_quantile_return,mean_ic,average_return,beats_baseline_rank_ic,beat_baseline_pct,sharpe_ratio
xgboost_optuna,0.03242851922263673,0.03791998082655524,0.3961937716262976,0.03818173374032732,0.057595275942357006,0.03242851922263673,0.057595275942357006,1,100.0,-2.4835784313226577
random_forest_optuna,0.011228975853222039,0.021815036174897773,0.4031141868512111,0.06433338311630543,0.06920213098210287,0.011228975853222039,0.06920213098210287,1,100.0,
lightgbm_optuna,-0.019845646422511087,-0.008470767986338883,0.3304498269896194,0.023366137865049985,0.051531961772351954,-0.019845646422511087,0.051531961772351954,1,100.0,
logreg_baseline,-0.025594936000055028,-0.01913899249539388,0.36678200692041524,0.07325758713648797,0.08322596286169656,-0.025594936000055028,0.08322596286169656,0,0.0,
logreg_pca,-0.005793319168107427,-0.021081052741952395,0.38581314878892736,0.06625309540655566,0.08409976263947569,-0.005793319168107427,0.08409976263947569,0,0.0,
