date,quantile,mean_return
2024-04-04,1,-0.00916252737390072
2024-04-04,2,0.002029242138501808
2024-04-04,3,0.006192589546359151
2024-04-04,4,-0.01774656348864584
2024-04-04,5,-0.010871247205888113
2024-04-05,1,0.003979650906985155
2024-04-05,2,0.0071885583307523815
2024-04-05,3,0.0035248575386588876
2024-04-05,4,0.010853540243785154
2024-04-05,5,0.018743598095942282
2024-04-08,1,-0.014284458318474247
2024-04-08,2,0.008474515675902405
2024-04-08,3,0.023854455637533634
2024-04-08,4,-0.022424184367927646
2024-04-08,5,0.010585260234233118
2024-04-09,1,0.00903239235387554
2024-04-09,2,-0.005183691372414256
2024-04-09,3,-0.0007550766487789407
2024-04-09,4,-0.006736269537761463
2024-04-09,5,0.010368144105178612
2024-04-10,1,0.007427017655679546
2024-04-10,2,0.003387988304012046
2024-04-10,3,-0.011147745550748156
2024-04-10,4,-0.01991432206526239
2024-04-10,5,0.01499817744085885
2024-04-11,1,-0.007559124250224092
2024-04-11,2,-0.008632002484650791
2024-04-11,3,-0.005113000587083083
2024-04-11,4,0.0006186092118852238
2024-04-11,5,0.009583685524879426
2024-04-12,1,0.003749605378603249
2024-04-12,2,-0.0006180537146190934
2024-04-12,3,0.012695929527678507
2024-04-12,4,0.0030078856399714526
2024-04-12,5,0.005682378584329351
2024-04-15,1,-0.003567213403432301
2024-04-15,2,-0.021424447814234915
2024-04-15,3,0.018179973132907645
2024-04-15,4,-0.011397752749371548
2024-04-15,5,-0.009771849625447748
2024-04-16,1,-0.00362475507396276
2024-04-16,2,0.014032959304868808
2024-04-16,3,0.005161811868825139
2024-04-16,4,0.0016244742910404009
2024-04-16,5,0.0052583748873061276
2024-04-17,1,0.0031167397303129007
2024-04-17,2,0.010245427163979248
2024-04-17,3,-0.01673190773714678
2024-04-17,4,0.004443281611374528
2024-04-17,5,0.014303521218348991
2024-04-18,1,0.002394420575765388
2024-04-18,2,-0.022334141136409802
2024-04-18,3,0.006046734106911922
2024-04-18,4,0.004080428835650185
2024-04-18,5,-0.010288837859345368
2024-04-19,1,0.007241068306936882
2024-04-19,2,0.009427049898585116
2024-04-19,3,-0.020392408587068978
2024-04-19,4,0.00032941179008383337
2024-04-19,5,0.010215221310982736
2024-04-22,1,0.003237192749609097
2024-04-22,2,-0.016515785191864363
2024-04-22,3,-0.01825268461427998
2024-04-22,4,0.015070213169341873
2024-04-22,5,0.005779054990603716
2024-04-23,1,0.009528685407638293
2024-04-23,2,-0.0074014712680725014
2024-04-23,3,-0.009195585260367845
2024-04-23,4,-0.017676944231575176
2024-04-23,5,-0.0033954824284995744
2024-04-24,1,0.0073423797958747095
2024-04-24,2,-0.010479343337735259
2024-04-24,3,0.01079901344424139
2024-04-24,4,0.00711947518364725
2024-04-24,5,0.0027139234244008548
2024-04-25,1,0.003788280934858723
2024-04-25,2,0.01646954563948011
2024-04-25,3,0.006601539894846631
2024-04-25,4,-0.014389912531147964
2024-04-25,5,-0.0073492798300898166
2024-04-26,1,0.00919240408741917
2024-04-26,2,0.010283258174703103
2024-04-26,3,0.0011991363014386414
2024-04-26,4,0.0020271563508301726
2024-04-26,5,0.00742028197246658
2024-04-29,1,0.0022307333315597644
2024-04-29,2,-0.0053640163631349935
2024-04-29,3,0.020041985410281904
2024-04-29,4,-0.0031919521650950466
2024-04-29,5,-0.005515343644868886
2024-04-30,1,0.015890268133014196
2024-04-30,2,-0.015154688246289127
2024-04-30,3,0.010920321386981069
2024-04-30,4,0.00968105002091646
2024-04-30,5,0.012840574380435177
2024-05-01,1,0.004150826442129774
2024-05-01,2,0.008561015783589254
2024-05-01,3,0.004655925676675388
2024-05-01,4,-0.0218169172855201
2024-05-01,5,-0.0034549943843153463
2024-05-02,1,0.0025304324218524687
2024-05-02,2,-0.00136097362238069
2024-05-02,3,0.0106547803213346
2024-05-02,4,0.0050710659795731305
2024-05-02,5,0.0005517153122440721
2024-05-03,1,0.01584239592861625
2024-05-03,2,0.010511977900230063
2024-05-03,3,-0.01314307443601781
2024-05-03,4,-0.007107734347433392
2024-05-03,5,-0.020515908042629094
2024-05-06,1,0.00530574408515333
2024-05-06,2,-0.006406443318307697
2024-05-06,3,-0.00197454820020998
2024-05-06,4,0.0030459403516580608
2024-05-06,5,0.0016627804499854126
2024-05-07,1,0.005024727375868343
2024-05-07,2,0.018425266805221385
2024-05-07,3,-0.00744078376123708
2024-05-07,4,-0.00026262521920672466
2024-05-07,5,-0.012187053357016697
2024-05-08,1,-0.006180804686212238
2024-05-08,2,-0.01369093782280112
2024-05-08,3,0.01061028140084741
2024-05-08,4,-0.004199628511159903
2024-05-08,5,-0.005384726619547198
2024-05-09,1,0.022000999062630533
2024-05-09,2,0.0044804765571008764
2024-05-09,3,-0.009417093617975547
2024-05-09,4,0.01769184792495282
2024-05-09,5,0.002969329096277895
2024-05-10,1,0.022622865196846198
2024-05-10,2,-0.008915239387540685
2024-05-10,3,-0.00253926446773034
2024-05-10,4,-0.013583574560907585
2024-05-10,5,0.0010084302818593738
2024-05-13,1,-0.007971469557151611
2024-05-13,2,-0.004289000517592789
2024-05-13,3,-0.0021149705491478876
2024-05-13,4,-0.008259982870272964
2024-05-13,5,0.016974343460470998
2024-05-14,1,0.012549406618352021
2024-05-14,2,0.0036623404437907126
2024-05-14,3,0.002119257363063509
2024-05-14,4,-0.00695336033463273
2024-05-14,5,-0.018348305005570553
2024-05-15,1,-0.0009456318363063043
2024-05-15,2,-0.0018021593572097871
2024-05-15,3,-0.006588790027257374
2024-05-15,4,-0.010516570204395781
2024-05-15,5,0.006302604983547178
2024-05-16,1,-0.003111086811857733
2024-05-16,2,0.01481776550823477
2024-05-16,3,-0.01679562313018529
2024-05-16,4,-0.005944244135757837
2024-05-16,5,0.01572979049760237
2024-05-17,1,-0.005751178321835748
2024-05-17,2,0.0036676393986395106
2024-05-17,3,0.006077879221139781
2024-05-17,4,0.00893923327031454
2024-05-17,5,0.009800139373328187
2024-05-20,1,0.0006076431404012927
2024-05-20,2,-0.0035116387011336347
2024-05-20,3,0.017191964149505412
2024-05-20,4,0.008390360377776185
2024-05-20,5,-0.009429651026183206
2024-05-21,1,-0.019816810945653074
2024-05-21,2,-0.004763385630495942
2024-05-21,3,-0.008182799511015693
2024-05-21,4,0.00436261901786994
2024-05-21,5,-0.004922896100141239
2024-05-22,1,-0.006580885391332059
2024-05-22,2,0.0036868270313473728
2024-05-22,3,0.01577209604797336
2024-05-22,4,0.005130085040665366
2024-05-22,5,0.008018042437592465
2024-05-23,1,-0.004010847629141445
2024-05-23,2,0.012153198302155777
2024-05-23,3,-0.008524209108939917
2024-05-23,4,-0.013437104859238824
2024-05-23,5,-0.005362398815918379
2024-05-24,1,0.001656826849253612
2024-05-24,2,0.012831267845744398
2024-05-24,3,0.009323636954920722
2024-05-24,4,-0.01938046028013718
2024-05-24,5,0.01450760694023967
2024-05-27,1,-0.005005216122044465
2024-05-27,2,0.0003124818329979795
2024-05-27,3,0.013681788223803282
2024-05-27,4,-0.011438368807464572
2024-05-27,5,-0.0003740777319912736
2024-05-28,1,-0.0011291709629088764
2024-05-28,2,-2.17749903936304e-05
2024-05-28,3,-0.016121707361989313
2024-05-28,4,-0.0012068050663438523
2024-05-28,5,-0.0025636488414083614
2024-05-29,1,-0.00021587162948438765
2024-05-29,2,-0.001918519706738342
2024-05-29,3,0.008896566160389918
2024-05-29,4,0.0129774938446236
2024-05-29,5,-0.01734954789440657
2024-05-30,1,0.006105761129155285
2024-05-30,2,0.0011584692639423078
2024-05-30,3,0.034464095711966514
2024-05-30,4,0.005346962555054513
2024-05-30,5,-0.0006190556725356733
2024-05-31,1,0.00031367560673267736
2024-05-31,2,0.0044222040426757925
2024-05-31,3,0.012003087411678048
2024-05-31,4,0.003901502267940893
2024-05-31,5,-0.008841105807657623
2024-06-03,1,0.004472801515086999
2024-06-03,2,-0.00677210894147201
2024-06-03,3,0.017223812677261363
2024-06-03,4,-0.007954843277765578
2024-06-03,5,0.0057219154984831655
2024-06-04,1,0.00187843954856326
2024-06-04,2,-0.0032460086435479596
2024-06-04,3,-0.0021595201692725663
2024-06-04,4,-0.007600565641103674
2024-06-04,5,-0.014198584352207166
2024-06-05,1,0.0035886368865418183
2024-06-05,2,0.01263892432958963
2024-06-05,3,-0.006046848864337484
2024-06-05,4,0.00043036903662707626
2024-06-05,5,-0.0012951410814973086
2024-06-06,1,-0.014470554628595422
2024-06-06,2,0.011006342175393202
2024-06-06,3,9.82686718364878e-06
2024-06-06,4,0.029344154238414022
2024-06-06,5,-0.0139758838492679
2024-06-07,1,0.018166111915243977
2024-06-07,2,0.00013234469842293706
2024-06-07,3,-0.007042916572127911
2024-06-07,4,-0.012066074079093325
2024-06-07,5,0.01074209967919737
2024-06-10,1,-0.0036052288411007605
2024-06-10,2,0.0014144955105641621
2024-06-10,3,0.004695623051353626
2024-06-10,4,-0.0062469532367125935
2024-06-10,5,0.009547281097430749
2024-06-11,1,0.02594419538045023
2024-06-11,2,0.007098217682879215
2024-06-11,3,0.022956658944147224
2024-06-11,4,-0.008195469214152595
2024-06-11,5,0.005373610132050177
2024-06-12,1,-0.00857769033611655
2024-06-12,2,0.017061428789295285
2024-06-12,3,0.005908102591772546
2024-06-12,4,-0.00310246309866391
2024-06-12,5,-0.014842874713484833
2024-06-13,1,-0.010869131381246955
2024-06-13,2,0.004870286358670706
2024-06-13,3,0.006205300788553969
2024-06-13,4,0.0035480918750619983
2024-06-13,5,0.004598627037263381
2024-06-14,1,0.000678350650166526
2024-06-14,2,-0.0006824972577134103
2024-06-14,3,0.007409283808556433
2024-06-14,4,-0.017543745908454644
2024-06-14,5,0.024481421392296032
2024-06-17,1,-0.003660494167167405
2024-06-17,2,-0.004889485712258501
2024-06-17,3,-0.006074935251170588
2024-06-17,4,-0.021856454484060595
2024-06-17,5,0.013385286022085552
2024-06-18,1,0.004856962908452833
2024-06-18,2,0.00966149598949484
2024-06-18,3,0.015884271974639652
2024-06-18,4,0.004778696537403149
2024-06-18,5,0.014598398642736155
2024-06-19,1,0.016526544513376984
2024-06-19,2,-0.006985961085652526
2024-06-19,3,-0.005568379821389358
2024-06-19,4,0.0002761042585023854
2024-06-19,5,0.009766956843149988
2024-06-20,1,-0.006032534001908174
2024-06-20,2,0.01968818479635348
2024-06-20,3,0.008953005139507308
2024-06-20,4,-0.007611195998989406
