split_name,fold,precision_at_k,ic,rank_ic,ablation
walk_forward,0,0.40234375,-0.16759640043907054,-0.16079545454545452,technical_only
walk_forward,1,0.43766233766233764,-0.07457675567667384,-0.07400236127508855,technical_only
walk_forward,2,0.3971354166666667,-0.09436422513336151,-0.07569444444444444,technical_only
walk_forward,3,0.37012987012987014,-0.0838958878588534,-0.07091358857592624,technical_only
purged_kfold,0,0.41015625,-0.1751656689015463,-0.15890151515151515,technical_only
purged_kfold,1,0.4244791666666667,-0.08590517891998824,-0.08232323232323231,technical_only
purged_kfold,2,0.4010416666666667,-0.08635988387194987,-0.07616792929292927,technical_only
purged_kfold,3,0.38082901554404147,-0.09563906911356164,-0.09037301213467015,technical_only
purged_kfold_horizon,0,0.41015625,-0.162571292879668,-0.14902146464646462,technical_only
purged_kfold_horizon,1,0.44140625,-0.06948353156056956,-0.0665719696969697,technical_only
purged_kfold_horizon,2,0.38671875,-0.08483557626068328,-0.07481060606060606,technical_only
purged_kfold_horizon,3,0.3873056994818653,-0.09858996605829841,-0.08571821097727832,technical_only
walk_forward,0,0.484375,0.007462331541250968,0.021811868686868685,fundamental_strategy
walk_forward,1,0.4155844155844156,0.006050454534582964,0.0050531286894923205,fundamental_strategy
walk_forward,2,0.4140625,0.0012059584835514732,0.014457070707070703,fundamental_strategy
walk_forward,3,0.4649350649350649,0.04453458176514106,0.028628211615224594,fundamental_strategy
purged_kfold,0,0.4036458333333333,0.0026112987318712955,0.010858585858585857,fundamental_strategy
purged_kfold,1,0.4153645833333333,0.006485016970119123,0.00546085858585858,fundamental_strategy
purged_kfold,2,0.4140625,0.0008873699819903347,0.013005050505050504,fundamental_strategy
purged_kfold,3,0.45466321243523317,0.044872288504482306,0.02706244532669402,fundamental_strategy
purged_kfold_horizon,0,0.4036458333333333,-0.0007014450764487885,0.010700757575757577,fundamental_strategy
purged_kfold_horizon,1,0.4153645833333333,0.0061520654588933165,0.004040404040404043,fundamental_strategy
purged_kfold_horizon,2,0.4140625,0.0020022545926234397,0.013005050505050504,fundamental_strategy
purged_kfold_horizon,3,0.45466321243523317,0.0449902626441513,0.02706244532669402,fundamental_strategy
walk_forward,0,0.3411458333333333,,,alternative_data_strategy
walk_forward,1,0.3987012987012987,,,alternative_data_strategy
walk_forward,2,0.3515625,-8.29278402552433e-19,,alternative_data_strategy
walk_forward,3,0.34285714285714286,-5.641387636283154e-19,,alternative_data_strategy
purged_kfold,0,0.3411458333333333,-1.80339783469609e-18,,alternative_data_strategy
purged_kfold,1,0.3971354166666667,1.87101224833807e-19,,alternative_data_strategy
purged_kfold,2,0.3528645833333333,7.863432143535918e-19,,alternative_data_strategy
purged_kfold,3,0.3432642487046632,,,alternative_data_strategy
purged_kfold_horizon,0,0.3411458333333333,,,alternative_data_strategy
purged_kfold_horizon,1,0.3971354166666667,,,alternative_data_strategy
purged_kfold_horizon,2,0.3528645833333333,-7.863432143535918e-19,,alternative_data_strategy
purged_kfold_horizon,3,0.3432642487046632,6.494098604845863e-19,,alternative_data_strategy
walk_forward,0,0.36328125,-0.18210755379166763,-0.17067550505050502,hybrid_strategy
walk_forward,1,0.4636363636363636,-0.08743752640457764,-0.08656434474616292,hybrid_strategy
walk_forward,2,0.40625,-0.10854573839076674,-0.09100378787878786,hybrid_strategy
walk_forward,3,0.3922077922077922,-0.08284147953963306,-0.07204587620172036,hybrid_strategy
purged_kfold,0,0.3697916666666667,-0.17225278679542977,-0.16079545454545455,hybrid_strategy
purged_kfold,1,0.44921875,-0.08097869193999155,-0.08055555555555555,hybrid_strategy
purged_kfold,2,0.4010416666666667,-0.0959810942248499,-0.0845012626262626,hybrid_strategy
purged_kfold,3,0.40414507772020725,-0.08924148904402368,-0.08868122378485073,hybrid_strategy
purged_kfold_horizon,0,0.3580729166666667,-0.17095202328418269,-0.15249368686868683,hybrid_strategy
purged_kfold_horizon,1,0.4401041666666667,-0.07932352056594777,-0.07436868686868686,hybrid_strategy
purged_kfold_horizon,2,0.3971354166666667,-0.08090469789213675,-0.0723169191919192,hybrid_strategy
purged_kfold_horizon,3,0.3756476683937824,-0.0891890535241907,-0.07552598524101116,hybrid_strategy
walk_forward,0,0.40234375,-0.16759640043907054,-0.16079545454545452,tech_only
walk_forward,1,0.43766233766233764,-0.07457675567667384,-0.07400236127508855,tech_only
walk_forward,2,0.3971354166666667,-0.09436422513336151,-0.07569444444444444,tech_only
walk_forward,3,0.37012987012987014,-0.08389588785885344,-0.07091358857592624,tech_only
purged_kfold,0,0.41015625,-0.1751656689015463,-0.15890151515151515,tech_only
purged_kfold,1,0.4244791666666667,-0.08590517891998824,-0.08232323232323231,tech_only
purged_kfold,2,0.4010416666666667,-0.08635988387194989,-0.07616792929292927,tech_only
purged_kfold,3,0.38082901554404147,-0.09563906911356167,-0.09037301213467015,tech_only
purged_kfold_horizon,0,0.41015625,-0.162571292879668,-0.14902146464646462,tech_only
purged_kfold_horizon,1,0.44140625,-0.06948353156056954,-0.0665719696969697,tech_only
purged_kfold_horizon,2,0.38671875,-0.08483557626068328,-0.07481060606060606,tech_only
purged_kfold_horizon,3,0.3873056994818653,-0.0985899660582985,-0.08571821097727832,tech_only
walk_forward,0,0.3671875,-0.1849649235734899,-0.1720643939393939,tech_fund
walk_forward,1,0.42467532467532465,-0.0794842686995313,-0.0804250295159386,tech_fund
walk_forward,2,0.4127604166666667,-0.09848319011086522,-0.08876262626262625,tech_fund
walk_forward,3,0.4025974025974026,-0.08947322089248774,-0.08109180862427616,tech_fund
purged_kfold,0,0.37109375,-0.17491368119511086,-0.16676136363636362,tech_fund
purged_kfold,1,0.4401041666666667,-0.0784084705378325,-0.07241161616161614,tech_fund
purged_kfold,2,0.4075520833333333,-0.0982682136140276,-0.0919191919191919,tech_fund
purged_kfold,3,0.39766839378238344,-0.0943881939041807,-0.08929468631541171,tech_fund
purged_kfold_horizon,0,0.3645833333333333,-0.1717832463742173,-0.1570391414141414,tech_fund
purged_kfold_horizon,1,0.4309895833333333,-0.07337678045116333,-0.07357954545454544,tech_fund
purged_kfold_horizon,2,0.3958333333333333,-0.0931251420259071,-0.08314393939393938,tech_fund
purged_kfold_horizon,3,0.39378238341968913,-0.09523868562080691,-0.08617185922885404,tech_fund
walk_forward,0,0.36328125,-0.18210755379166765,-0.17067550505050502,full
walk_forward,1,0.4636363636363636,-0.08743752640457764,-0.08656434474616292,full
walk_forward,2,0.40625,-0.10854573839076671,-0.09100378787878786,full
walk_forward,3,0.3922077922077922,-0.08284147953963307,-0.07204587620172036,full
purged_kfold,0,0.3697916666666667,-0.17225278679542977,-0.16079545454545455,full
purged_kfold,1,0.44921875,-0.08097869193999155,-0.08055555555555555,full
purged_kfold,2,0.4010416666666667,-0.09598109422484992,-0.0845012626262626,full
purged_kfold,3,0.40414507772020725,-0.08924148904402368,-0.08868122378485073,full
purged_kfold_horizon,0,0.3580729166666667,-0.17095202328418269,-0.15249368686868683,full
purged_kfold_horizon,1,0.4401041666666667,-0.07932352056594776,-0.07436868686868686,full
purged_kfold_horizon,2,0.3971354166666667,-0.08090469789213676,-0.0723169191919192,full
purged_kfold_horizon,3,0.3756476683937824,-0.0891890535241907,-0.07552598524101116,full
cpcv,0,0.378125,-0.09413234935827954,-0.09053030303030302,full
cpcv,1,0.4041666666666667,-0.05154400537209715,-0.04646464646464646,full
cpcv,2,0.430062630480167,-0.04261770917323686,-0.03794521414563167,full
cpcv,3,0.4158004158004158,-0.08254211098763183,-0.08894348894348894,full
cpcv,4,0.4002079002079002,-0.0875802331813869,-0.07371907371907371,full
cpcv,5,0.4114583333333333,-0.10136583190195513,-0.10449494949494949,full
cpcv,6,0.403125,-0.07824728610119686,-0.07823232323232322,full
cpcv,7,0.4196242171189979,-0.03212056992653875,-0.027013348516480035,full
cpcv,8,0.40625,-0.10907719426177488,-0.1048232323232323,full
cpcv,9,0.36382536382536385,-0.07469204625664015,-0.0818127818127818,full
cpcv,10,0.36486486486486486,-0.17566901973337687,-0.16906966906966905,full
cpcv,11,0.3945720250521921,-0.039584110785854144,-0.026760296071360785,full
cpcv,12,0.4386694386694387,-0.08451744526931297,-0.08872163872163871,full
cpcv,13,0.420997920997921,-0.13913588552636594,-0.12308952308952309,full
cpcv,14,0.341995841995842,-0.11246313292307843,-0.10427410427410426,full
cpcv,15,0.39479166666666665,-0.10044605535839471,-0.09366161616161615,full
cpcv,16,0.3958333333333333,-0.05072931126410403,-0.05578282828282828,full
cpcv,17,0.40501043841336115,-0.03414586497609353,-0.02850635794268362,full
cpcv,18,0.41875,-0.10520439267099023,-0.12194444444444444,full
cpcv,19,0.4376299376299376,-0.09411851106144235,-0.09473949473949472,full
