date,portfolio_ret,equity,turnover
2024-04-04,0.0,1.0,0.0
2024-04-05,0.03491850483474379,1.0349185048347438,1.0
2024-04-08,0.007762493025714967,1.0429520525107068,0.0
2024-04-09,0.04188357657792019,1.086634614669138,0.0
2024-04-10,0.004836430267789904,1.0918900472095519,0.0
2024-04-11,0.011966345018465496,1.10495598023669,0.0
2024-04-12,-0.001989618552098671,1.1027575393191587,2.0
2024-04-15,-0.01580602036051948,1.0853273311999636,0.0
2024-04-16,0.0058002922819200275,1.0916225469424796,0.0
2024-04-17,-0.02596221880243199,1.0632816035290908,0.0
2024-04-18,0.007409650730915818,1.0711601488398494,0.0
2024-04-19,0.007363528252192442,1.0790476668584543,2.0
2024-04-22,0.006642521877555874,1.0862152645924872,0.0
2024-04-23,-0.005730670156470663,1.079990523192184,0.0
2024-04-24,-0.007773450529146575,1.0715952702882026,0.0
2024-04-25,-0.01298482292766756,1.0576807954533842,0.0
2024-04-26,-0.007358318206923675,1.0498980435990861,2.0
2024-04-29,-0.005308489561076657,1.0443246707944456,0.0
2024-04-30,0.014353750252724673,1.059314646301788,0.0
2024-05-01,0.006168212215070357,1.0658487238427097,0.0
2024-05-02,-0.0039839726366665,1.0616024116920943,0.0
2024-05-03,-0.002348149393461285,1.0591096106329825,0.0
2024-05-06,-0.01684544959754375,1.0412684330687905,0.0
2024-05-07,0.004533461393041449,1.0459889833099005,0.0
2024-05-08,-0.018926572706028044,1.0261919967675814,0.0
2024-05-09,0.00855615757860173,1.0349722571978248,0.0
2024-05-10,-0.028833373250586214,1.0051305158020383,2.0
2024-05-13,0.007087796100972321,1.0122546759529083,0.0
2024-05-14,0.004805144248913651,1.0171187056874993,0.0
2024-05-15,-0.004305129395315355,1.012739878049119,0.0
2024-05-16,-0.0017797259561593837,1.0109374786013172,0.0
2024-05-17,-0.006343041917530434,1.0045250597985464,2.0
2024-05-20,-0.01728117247306904,0.9871656889866478,0.0
2024-05-21,-0.0033466012009836232,0.9838620391063153,0.0
2024-05-22,-0.0047475880897352996,0.9791910674075115,0.0
2024-05-23,-0.010285888568908996,0.9691192172004868,0.0
2024-05-24,0.002443628393132835,0.9714873844359685,0.0
2024-05-27,0.0036350435252932023,0.9750187833626665,0.0
2024-05-28,-0.00749483360650105,0.9677111798181501,0.0
2024-05-29,-0.0017463514613776931,0.9660212159850832,0.0
2024-05-30,0.03096033524619779,0.995929556686921,0.0
2024-05-31,-0.01543313105654287,0.9805592453154871,2.0
2024-06-03,0.028806885081691158,1.0088061028110802,0.0
2024-06-04,-0.016968633935813493,0.9916880413402643,0.0
2024-06-05,-0.01339987885228533,0.9783995417270447,0.0
2024-06-06,0.012003128415818187,0.9901433970683721,0.0
2024-06-07,-0.0028325855528419375,0.9873387311865943,2.0
2024-06-10,-0.01612592573845084,0.971416980128783,0.0
2024-06-11,-0.010968909352945033,0.9607615953298387,0.0
2024-06-12,-0.005649903730311379,0.9553333848084448,0.0
2024-06-13,0.013857769874801917,0.9685721750088357,0.0
2024-06-14,-0.006761574287062366,0.9620231022951319,0.0
2024-06-17,0.0073190041892752244,0.9690641534110095,0.0
2024-06-18,-0.005655425760229926,0.9635836830344935,0.0
2024-06-19,0.0029818600961788455,0.9664569547682631,0.0
2024-06-20,-0.0013044989241727256,0.9651962127105087,0.0
2024-06-21,-0.023528279476968783,0.9424868064677441,2.0
2024-06-24,-0.0004829255531396681,0.9420316555054038,0.0
2024-06-25,0.030707526940662033,0.9709591179457925,0.0
2024-06-26,0.014825608622084596,0.9853541778165013,0.0
2024-06-27,-0.0009613308365100659,0.9844069264604822,0.0
2024-06-28,0.03095458645007576,1.0148788357676566,0.0
2024-07-01,0.00772572877808364,1.0227195143954149,0.0
2024-07-02,0.01554111916625378,1.0386137202422872,0.0
2024-07-03,0.007831133086832143,1.0467472425113145,0.0
2024-07-04,0.01119545050728421,1.058466049458486,0.0
2024-07-05,0.0024930675031085148,1.0611048767695348,2.0
2024-07-08,-0.012083879639175565,1.0482826131541094,0.0
2024-07-09,-0.005164035033222714,1.0428692450150634,0.0
2024-07-10,0.0018072453096442676,1.044753965566689,0.0
2024-07-11,-0.02501099514884708,1.018623629202162,0.0
2024-07-12,0.0028591669280251253,1.0215360441948818,0.0
2024-07-15,0.021407912666925544,1.0434049986151224,0.0
2024-07-16,-0.004726615510769583,1.0384732243646537,0.0
2024-07-17,0.0031127209109227394,1.0417057016855669,0.0
2024-07-18,0.011590797325169877,1.053779901346278,0.0
2024-07-19,-0.008814502543958436,1.044491355725089,2.0
2024-07-22,-0.01450829175542001,1.0293375704002152,0.0
2024-07-23,0.02111188984450396,1.051068831799314,0.0
2024-07-24,-0.00521284738093708,1.0455897703922843,0.0
2024-07-25,0.025860768427512282,1.0726295253145748,0.0
2024-07-26,-0.010830446148311745,1.061012469003566,2.0
2024-07-29,0.0016439135599086718,1.0627566817885932,0.0
2024-07-30,-0.006151485585335736,1.0562191493798514,0.0
