regime,ic_mean,rank_ic_mean,n_rows
high_vol,-0.024390135694696356,-0.010833333333333346,668.0
low_vol,0.045623663484212075,0.06714285714285714,488.0
trend,-0.03916591932636831,-0.028409090909090908,605.0
non_trend,-0.005335533533084009,-0.008928571428571437,551.0
