date,long_short_cumulative
2024-04-04,0.9982912801680126
2024-04-05,1.0130299999076096
2024-04-08,1.038223770890761
2024-04-09,1.0396105801109727
2024-04-10,1.047481637927356
2024-04-11,1.0654384163892583
2024-04-12,1.0674976672128067
2024-04-15,1.0608742325199012
2024-04-16,1.0702981161999368
2024-04-17,1.082271307352922
2024-04-18,1.06854458066486
2024-04-19,1.0717225957394012
2024-04-22,1.074446766938332
2024-04-23,1.0605604365914254
2024-04-24,1.0556516788813506
2024-04-25,1.0438942941611895
2024-04-26,1.0420443859968336
2024-04-29,1.033972629970047
2024-04-30,1.0308193301000896
2024-05-01,1.0229791029709123
2024-05-02,1.020954916717092
2024-05-03,0.9838347275141546
2024-05-06,0.9802506533788051
2024-05-07,0.963378794069582
2024-05-08,0.9641457187974312
2024-05-09,0.9457964156778065
2024-05-10,0.9253535606083108
2024-05-13,0.9484372575064369
2024-05-14,0.9191327166306191
2024-05-15,0.9257948082296331
2024-05-16,0.9432375946252226
2024-05-17,0.9579061821212616
2024-05-20,0.9482913959873207
2024-05-21,0.9624151672878875
2024-05-22,0.9764653968565856
2024-05-23,0.9751456538906176
2024-05-24,0.9876770362454467
2024-05-27,0.992251105284977
2024-05-28,0.990827743024529
2024-05-29,0.9738512212412432
2024-05-30,0.967302250186293
2024-05-31,0.9584468095241897
2024-06-03,0.9596440188363078
2024-06-04,0.9442157990092452
2024-06-05,0.9396044586929695
2024-06-06,0.9400692535628107
2024-06-07,0.9330901679216291
2024-06-10,0.9453626456287644
2024-06-11,0.9259159827362049
2024-06-12,0.9201149483864104
2024-06-13,0.9343470641253113
2024-06-14,0.9565873933903871
2024-06-17,0.9728931718299301
2024-06-18,0.9823705481396344
2024-06-19,0.9757301282948356
2024-06-20,0.9937356166138127
2024-06-21,0.9814885881117436
2024-06-24,0.981618074397973
2024-06-25,0.9954359788733578
2024-06-26,1.0171251009173548
2024-06-27,1.0224091608012689
2024-06-28,1.008894899176045
2024-07-01,0.9900536031721225
2024-07-02,0.9881933603347651
2024-07-03,0.9668706555576745
2024-07-04,0.968342346626757
2024-07-05,0.9679802180823565
2024-07-08,0.9520046716568673
2024-07-09,0.9437276028312602
2024-07-10,0.9563564388393108
2024-07-11,0.9330321477904732
2024-07-12,0.9150237468153425
2024-07-15,0.9261944956447725
2024-07-16,0.8972873763304645
2024-07-17,0.8884618704839387
2024-07-18,0.8865426542877995
2024-07-19,0.8971206828707402
2024-07-22,0.8843526683004233
2024-07-23,0.8781815947561603
2024-07-24,0.8606121924791135
2024-07-25,0.8673166177390039
2024-07-26,0.8690944413781176
2024-07-29,0.8518932878335974
2024-07-30,0.8544099462503356
2024-07-31,0.8548981578854487
2024-08-01,0.8513166023737798
2024-08-02,0.833390613272687
2024-08-05,0.8484901736584826
2024-08-06,0.8374751027276854
2024-08-07,0.8372122868763802
2024-08-08,0.8504733980606123
2024-08-09,0.8707567504403905
2024-08-12,0.8759761920175178
2024-08-13,0.8741760132172822
2024-08-14,0.8754121067046946
2024-08-15,0.8852494876304025
2024-08-16,0.8820032566999707
2024-08-19,0.8868205717365854
2024-08-20,0.887838763317451
2024-08-21,0.8710346589323841
2024-08-22,0.8458225577993302
2024-08-23,0.85183594366435
2024-08-26,0.8564540684603094
2024-08-27,0.8648486075773368
2024-08-28,0.8721781216154755
2024-08-29,0.8644296635142105
2024-08-30,0.8634272738839972
2024-09-02,0.8493248233789348
2024-09-03,0.8606079390970824
