date,portfolio_ret,equity,turnover
2024-04-04,0.0,1.0,0.0
2024-04-05,0.03491850483474379,1.0349185048347438,1.0
2024-04-08,0.007762493025714967,1.0429520525107068,0.0
2024-04-09,0.04188357657792019,1.086634614669138,0.0
2024-04-10,-0.0036163760814614254,1.0827049352393605,2.0
2024-04-11,0.007201026031293356,1.090501521662229,1.0
2024-04-12,-0.0026109171959021182,1.0876543124871636,0.0
2024-04-15,-0.0030459193952291352,1.0843414051214544,2.0
2024-04-16,-0.001322727846102878,1.082907116550218,0.0
2024-04-17,0.012792987902886965,1.0967607341921952,0.0
2024-04-18,-0.0006794406906123207,1.0960155503215192,0.0
2024-04-19,-0.004334856465238679,1.0912644802272058,1.0
2024-04-22,0.006642521877555874,1.0985132284113146,1.0
2024-04-23,-0.005730670156470663,1.0922180114367697,0.0
2024-04-24,0.0027139234244008548,1.0951822074825606,1.0
2024-04-25,-0.01298482292766756,1.0809614604448674,1.0
2024-04-26,0.00742028197246658,1.0889824992827375,1.0
2024-04-29,-0.005515343644868886,1.082976386575945,0.0
2024-04-30,0.010632738414612097,1.0944913912036087,0.0
2024-05-01,0.001675542546394737,1.0963252580962333,0.0
2024-05-02,0.008906261268543714,1.106089417280142,0.0
2024-05-03,-0.020515908042629094,1.0833969885082975,0.0
2024-05-06,-0.005227862470762512,1.077733138051138,0.0
2024-05-07,-0.009975021905674064,1.066982726390607,0.0
2024-05-08,-0.005384726619547198,1.0612373161012145,0.0
2024-05-09,0.002969329096277895,1.0643884789419698,0.0
2024-05-10,-0.013583574560907585,1.0499302786764904,0.0
2024-05-13,0.016974343460470998,1.0677521558362932,0.0
2024-05-14,0.004805144248913651,1.072882858967175,1.0
2024-05-15,-0.002592012970370261,1.0701019326810441,1.0
2024-05-16,0.009226704422545806,1.079975446915887,0.0
2024-05-17,-0.0013982731406598226,1.0784653462558924,1.0
2024-05-20,0.008390360377776185,1.0875140591659225,1.0
2024-05-21,-0.00031463711523421756,1.08717188687957,1.0
2024-05-22,0.008018042437592465,1.0958888772055277,1.0
2024-05-23,-0.010285888568908996,1.084616686330685,1.0
2024-05-24,0.002443628393132835,1.0872670864610683,0.0
2024-05-27,0.0014513936630529134,1.088845139020404,1.0
2024-05-28,-0.012932136265732863,1.0747640453103111,2.0
2024-05-29,-0.011578670521450174,1.062319706541362,1.0
2024-05-30,0.015297046289220795,1.0785700602662767,0.0
2024-05-31,-0.01543313105654287,1.061924347172524,1.0
2024-06-03,0.028806885081691158,1.0925150798069727,0.0
2024-06-04,-0.0028913416845980366,1.0893562454156749,1.0
2024-06-05,-0.01339987885228533,1.0747590037001244,1.0
2024-06-06,0.012003128415818187,1.0876594740375938,0.0
2024-06-07,0.01074209967919737,1.099343220524729,1.0
2024-06-10,0.015042930301834456,1.115880563968877,1.0
2024-06-11,0.021716129617045388,1.1401131709331667,0.0
2024-06-12,-0.003471694227804578,1.1361550466185941,1.0
2024-06-13,0.00642288975675237,1.1434524452296033,0.0
2024-06-14,0.024481421392296032,1.1714457863833203,1.0
2024-06-17,-0.007933406021506162,1.1621522313277588,1.0
2024-06-18,0.004522817263310164,1.1674084335022024,2.0
2024-06-19,0.02269584981373063,1.193903759980251,1.0
2024-06-20,0.01763433387724289,1.2149574575010382,0.0
2024-06-21,-0.023528279476968783,1.1863715988883263,0.0
2024-06-24,-0.0004829255531396681,1.185798669727704,0.0
2024-06-25,0.030707526940662033,1.2222116143245687,0.0
2024-06-26,-0.022853908157848157,1.1942793023413396,2.0
2024-06-27,-0.006161679088523053,1.1869205365382471,0.0
2024-06-28,0.008777752243387948,1.197339030940569,2.0
2024-07-01,0.0008907614025639443,1.198405574335114,1.0
2024-07-02,-0.0048615938245715196,1.1925794131955945,1.0
2024-07-03,0.019058019793395164,1.2153076152574718,1.0
2024-07-04,0.0062109387231970015,1.2228558163856706,1.0
2024-07-05,0.0024930675031085148,1.225904478482489,2.0
2024-07-08,-0.009107359751889366,1.2147397253754968,1.0
2024-07-09,-0.005164035033222714,1.2084667668774103,1.0
2024-07-10,0.0115521244920046,1.2224271254128285,1.0
2024-07-11,-0.02501099514884708,1.1918530065093091,1.0
2024-07-12,0.0028591669280251253,1.195260713208588,0.0
2024-07-15,0.002998852949390618,1.1988451243236842,1.0
2024-07-16,-0.012498453358229522,1.1838614144535837,0.0
2024-07-17,-0.017704366858624532,1.1629018976623273,2.0
2024-07-18,-0.016346502642460292,1.143892518719268,0.0
2024-07-19,-0.008814502543958436,1.1338096752030018,0.0
2024-07-22,-0.01450829175542001,1.1173600336400387,0.0
2024-07-23,0.02111188984450396,1.1409496155868983,0.0
2024-07-24,0.001057383533115075,1.1421560369225339,1.0
2024-07-25,0.01243320531109221,1.1563566974268953,0.0
2024-07-26,-0.016439798630395464,1.137346426176288,0.0
2024-07-29,-0.002544884232178024,1.134452011189788,0.0
2024-07-30,-0.0018765334462162997,1.132323174047663,0.0
2024-07-31,0.00555662561477549,1.13861507000078,0.0
